iter	Logloss
0	0.6156766324
1	0.5518279157
2	0.502547532
3	0.46457831
4	0.4343399377
5	0.4108138811
6	0.3923651977
7	0.3759414949
8	0.3625915449
9	0.3531646039
10	0.3461703248
11	0.340990755
12	0.3358231147
13	0.3337824536
14	0.3293626579
15	0.3247368614
16	0.3211019709
17	0.317540164
18	0.3149127908
19	0.3124089402
20	0.3109237142
21	0.310225809
22	0.3096254132
23	0.3087321052
24	0.3073628758
25	0.3061026286
26	0.3044876089
27	0.3032862582
28	0.3023885437
29	0.3013008642
30	0.3006734197
31	0.2995059098
32	0.2987780868
33	0.2980200304
34	0.2974926111
35	0.2962240219
36	0.2957751262
37	0.2948814386
38	0.2940485663
39	0.293343379
40	0.2923326134
41	0.2915529465
42	0.2910753286
43	0.2905608764
44	0.2899864228
45	0.2895702165
46	0.2890813094
47	0.2885136969
48	0.2882037488
49	0.2877545478
50	0.2872609469
51	0.287069965
52	0.2865544622
53	0.2864871534
54	0.2858973132
55	0.2856027265
56	0.2852476463
57	0.2848669092
58	0.2845103536
59	0.2839956889
60	0.2833405301
61	0.2828849042
62	0.2823047268
63	0.2819205489
64	0.2815836778
65	0.2807847953
66	0.279949321
67	0.2793457023
68	0.2787685198
69	0.2783712024
70	0.2780501987
71	0.2777630117
72	0.2773597442
73	0.2767254812
74	0.2764160453
75	0.2760415164
76	0.2757314556
77	0.2754144532
78	0.2748656306
79	0.2743630081
80	0.2739121296
81	0.2736095426
82	0.2733833901
83	0.2732103475
84	0.2727862778
85	0.2722668704
86	0.2719324097
87	0.2713351111
88	0.2711816743
89	0.2709552629
90	0.270539267
91	0.270282533
92	0.2699640641
93	0.2698186571
94	0.2693751939
95	0.2690898355
96	0.2684418986
97	0.2680511849
98	0.2676907297
99	0.267382729
100	0.2668915854
101	0.2666193651
102	0.2664011716
103	0.2663870087
104	0.2660274496
105	0.2655930424
106	0.2653870751
107	0.2646811485
108	0.2643946647
109	0.2640324261
110	0.2639258779
111	0.2635645564
112	0.2632426505
113	0.2627710663
114	0.2622561725
115	0.2617425106
116	0.2614210152
117	0.2608054063
118	0.2604634866
119	0.2598070003
120	0.2593958204
121	0.259009019
122	0.2586278914
123	0.2583789531
124	0.2580278429
125	0.2574682425
126	0.2571098394
127	0.256644341
128	0.2562444298
129	0.256000914
130	0.2556497932
131	0.2550466791
132	0.2543281785
133	0.254144237
134	0.25353136
135	0.2529947546
136	0.2525876232
137	0.2520229678
138	0.2516141454
139	0.2511922296
140	0.2508602193
141	0.2504040058
142	0.2499511847
143	0.2494000948
144	0.2489607594
145	0.2483698729
146	0.2479200352
147	0.2476824458
148	0.247153745
149	0.2467163434
150	0.2462271376
151	0.2458897039
152	0.2454509384
153	0.2450335819
154	0.2444864261
155	0.2441272535
156	0.2439975566
157	0.2435687542
158	0.2432086992
159	0.2429032656
160	0.2425945907
161	0.2422205439
162	0.2415004008
163	0.2409586634
164	0.2406074141
165	0.2401959903
166	0.2398541023
167	0.2394199565
168	0.2391095078
169	0.2387683157
170	0.2382833214
171	0.2378071815
172	0.2375075916
173	0.2371739129
174	0.2369612309
175	0.236774963
176	0.2363587946
177	0.2360183815
178	0.2356458087
179	0.2353092402
180	0.2348645787
181	0.2345254256
182	0.2341847011
183	0.2337160128
184	0.2331078538
185	0.232658289
186	0.2322225993
187	0.2318859034
188	0.2314903532
189	0.2312230543
190	0.2308221906
191	0.2305186919
192	0.2301159723
193	0.2295963815
194	0.2289690119
195	0.2287239993
196	0.2282793063
197	0.2278946263
198	0.2274504424
199	0.2270623281
200	0.2264773768
201	0.2260106597
202	0.2255429658
203	0.2252550748
204	0.2249641575
205	0.2246346673
206	0.2242600495
207	0.2240499785
208	0.2236590554
209	0.2230806003
210	0.2225532414
211	0.2222828483
212	0.2221784374
213	0.2218622573
214	0.2212101074
215	0.2206959228
216	0.2203375435
217	0.2198093498
218	0.2194841762
219	0.2191962908
220	0.2189376142
221	0.2186026113
222	0.218156775
223	0.2179672576
224	0.2179527114
225	0.2176161937
226	0.2173122907
227	0.216825416
228	0.2165746386
229	0.2162477627
230	0.2158984366
231	0.2156611744
232	0.2151931116
233	0.214806047
234	0.214603277
235	0.2142611216
236	0.2137053623
237	0.213474643
238	0.2130769914
