iter	Passed	Remaining
0	13	6895
1	25	6453
2	38	6436
3	51	6357
4	63	6331
5	76	6278
6	88	6216
7	100	6175
8	112	6155
9	125	6127
10	137	6096
11	150	6110
12	162	6073
13	173	6014
14	185	6012
15	199	6032
16	215	6132
17	228	6124
18	240	6089
19	252	6068
20	265	6065
21	278	6053
22	290	6020
23	302	6001
24	313	5965
25	325	5942
26	338	5929
27	350	5909
28	363	5908
29	375	5884
30	387	5858
31	400	5857
32	412	5842
33	425	5827
34	436	5798
35	448	5786
36	462	5782
37	474	5764
38	486	5744
39	497	5726
40	513	5745
41	525	5732
42	538	5728
43	551	5711
44	562	5691
45	574	5670
46	586	5657
47	598	5637
48	610	5618
49	621	5597
50	634	5588
51	648	5588
52	662	5588
53	674	5571
54	686	5555
55	697	5529
56	709	5514
57	721	5498
58	733	5480
59	745	5467
60	757	5450
61	770	5439
62	783	5431
63	795	5416
64	806	5397
65	819	5392
66	832	5378
67	844	5362
68	855	5345
69	868	5332
70	882	5334
71	894	5315
72	909	5318
73	924	5323
74	939	5325
75	954	5325
76	969	5325
77	985	5329
78	1003	5347
79	1017	5343
80	1034	5350
81	1047	5339
82	1061	5331
83	1075	5324
84	1091	5328
85	1107	5330
86	1122	5327
87	1137	5326
88	1152	5322
89	1168	5325
90	1184	5324
91	1200	5325
92	1218	5333
93	1234	5332
94	1250	5330
95	1264	5321
96	1279	5316
97	1294	5308
98	1308	5300
99	1321	5285
100	1337	5283
101	1358	5301
102	1376	5304
103	1383	5269
104	1398	5261
105	1413	5255
106	1428	5247
107	1444	5243
108	1459	5233
109	1474	5228
110	1490	5221
111	1506	5219
112	1521	5212
113	1535	5199
114	1550	5191
115	1570	5200
116	1583	5185
117	1598	5173
118	1613	5165
119	1629	5158
120	1644	5150
121	1661	5147
122	1679	5147
123	1698	5150
124	1716	5148
125	1732	5142
126	1752	5146
127	1768	5140
128	1786	5138
129	1801	5126
130	1817	5119
131	1835	5118
132	1850	5105
133	1873	5116
134	1889	5109
135	1907	5104
136	1928	5109
137	1940	5089
138	1957	5084
139	1971	5069
140	1995	5080
141	2008	5064
142	2025	5057
143	2038	5038
144	2053	5027
145	2069	5017
146	2083	5004
147	2098	4992
148	2114	4982
149	2130	4970
150	2145	4958
151	2161	4947
152	2177	4938
153	2193	4929
154	2209	4917
155	2223	4902
156	2239	4892
157	2255	4881
158	2270	4869
159	2283	4851
160	2300	4843
161	2315	4832
162	2337	4832
163	2355	4825
164	2373	4819
165	2392	4812
166	2407	4799
167	2422	4787
168	2438	4776
169	2454	4764
170	2471	4754
171	2488	4745
172	2504	4733
173	2519	4720
174	2535	4708
175	2555	4704
176	2575	4699
177	2590	4686
178	2606	4673
179	2621	4660
180	2636	4645
181	2650	4630
182	2663	4614
183	2676	4597
184	2690	4580
185	2705	4566
186	2718	4550
187	2734	4537
188	2749	4523
189	2763	4509
190	2778	4494
191	2789	4474
192	2802	4458
193	2817	4444
194	2832	4430
195	2846	4414
196	2859	4398
197	2872	4380
198	2886	4365
199	2899	4348
200	2915	4336
201	2930	4322
202	2945	4309
203	2959	4294
204	2978	4285
205	2993	4272
206	3009	4259
207	3024	4245
208	3038	4230
209	3053	4217
210	3072	4208
211	3089	4196
212	3102	4180
213	3117	4166
214	3139	4161
215	3159	4153
216	3174	4139
217	3190	4127
218	3204	4112
219	3223	4102
220	3238	4089
221	3255	4076
222	3271	4063
223	3284	4047
224	3300	4033
225	3319	4025
226	3338	4015
227	3356	4003
228	3371	3989
229	3390	3979
230	3404	3964
231	3421	3952
232	3438	3940
233	3453	3925
234	3471	3915
235	3486	3900
236	3502	3886
237	3517	3871
238	3532	3857
239	3550	3846
240	3565	3832
241	3580	3817
242	3598	3806
243	3618	3796
244	3633	3782
245	3649	3767
246	3665	3754
247	3680	3739
248	3698	3727
249	3712	3712
250	3727	3697
251	3745	3685
252	3760	3671
253	3775	3656
254	3788	3639
255	3802	3623
256	3820	3612
257	3832	3594
258	3847	3580
259	3861	3564
260	3875	3548
261	3891	3534
262	3906	3519
263	3919	3503
264	3932	3487
265	3951	3476
266	3965	3460
267	3980	3445
268	3997	3432
269	4011	3417
270	4025	3401
271	4039	3386
272	4053	3370
273	4066	3354
274	4078	3336
275	4093	3321
276	4112	3310
277	4135	3302
278	4149	3286
279	4159	3268
280	4173	3252
281	4187	3236
282	4199	3220
283	4211	3203
284	4222	3185
285	4234	3168
286	4248	3152
287	4260	3136
288	4272	3119
289	4284	3102
290	4296	3086
291	4310	3070
292	4324	3055
293	4338	3039
294	4351	3023
295	4363	3007
296	4378	2992
297	4390	2976
298	4404	2961
299	4420	2946
300	4436	2933
301	4449	2917
302	4461	2900
303	4474	2885
304	4486	2868
305	4499	2852
306	4513	2837
307	4529	2823
308	4543	2808
309	4557	2793
310	4571	2778
311	4584	2762
312	4597	2746
313	4610	2731
314	4624	2715
315	4636	2699
316	4653	2686
317	4672	2674
318	4684	2658
319	4759	2676
320	4786	2669
321	4806	2656
322	4829	2646
323	4844	2631
324	4856	2614
325	4869	2599
326	4880	2582
327	4893	2565
328	4921	2558
329	4940	2545
330	4953	2528
331	4965	2512
332	4978	2496
333	4990	2480
334	5002	2463
335	5014	2447
336	5027	2431
337	5038	2415
338	5050	2398
339	5063	2382
340	5075	2366
341	5086	2350
342	5098	2333
343	5110	2317
344	5123	2301
345	5136	2286
346	5149	2270
347	5161	2254
348	5173	2238
349	5186	2222
350	5196	2205
351	5207	2189
352	5219	2173
353	5233	2158
354	5245	2142
355	5257	2126
356	5269	2110
357	5282	2095
358	5295	2079
359	5309	2064
360	5321	2048
361	5333	2033
362	5344	2017
363	5356	2001
364	5369	1985
365	5381	1970
366	5395	1955
367	5407	1939
368	5421	1924
369	5434	1909
370	5455	1896
371	5474	1883
372	5486	1867
373	5501	1853
374	5514	1838
375	5525	1822
376	5538	1807
377	5550	1791
378	5563	1776
379	5574	1760
380	5586	1744
381	5598	1729
382	5616	1715
383	5633	1701
384	5646	1686
385	5659	1671
386	5672	1656
387	5687	1641
388	5699	1626
389	5711	1610
390	5725	1596
391	5737	1580
392	5750	1565
393	5762	1550
394	5774	1534
395	5786	1519
396	5800	1505
397	5813	1489
398	5825	1474
399	5838	1459
400	5851	1444
401	5862	1429
402	5874	1414
403	5887	1398
404	5901	1384
405	5913	1369
406	5925	1353
407	5938	1338
408	5950	1323
409	5963	1309
410	5975	1294
411	5988	1279
412	6000	1264
413	6012	1249
414	6025	1234
415	6038	1219
416	6049	1204
417	6061	1189
418	6075	1174
419	6094	1160
420	6106	1145
421	6119	1131
422	6131	1116
423	6147	1101
424	6160	1087
425	6170	1071
426	6184	1057
427	6197	1042
428	6210	1027
429	6222	1012
430	6235	998
431	6247	983
432	6259	968
433	6272	953
434	6284	939
435	6297	924
436	6310	909
437	6321	894
438	6333	879
439	6345	865
440	6359	850
441	6370	835
442	6382	821
443	6394	806
444	6408	792
445	6422	777
446	6432	762
447	6444	748
448	6456	733
449	6469	718
450	6482	704
451	6494	689
452	6507	675
453	6519	660
454	6533	646
455	6549	631
456	6561	617
457	6576	603
458	6589	588
459	6603	574
460	6615	559
461	6627	545
462	6639	530
463	6651	516
464	6664	501
465	6676	487
466	6689	472
467	6700	458
468	6713	443
469	6725	429
470	6738	414
471	6752	400
472	6764	386
473	6775	371
474	6787	357
475	6799	342
476	6811	328
477	6823	314
478	6836	299
479	6848	285
480	6860	271
481	6872	256
482	6886	242
483	6899	228
484	6912	213
485	6924	199
486	6936	185
487	6948	170
488	6960	156
489	6972	142
490	6984	128
491	6996	113
492	7010	99
493	7022	85
494	7034	71
495	7047	56
496	7060	42
497	7071	28
498	7086	14
499	7100	0
